show_title,language,genres,summary
Batwheels,English,"('Action', 'Adventure', 'Science-Fiction')","<p>Bam, Redbird, Bibi, Batwing, and Buff are thrust into hilarious hijinks and draw-dropping action as they learn important lessons about teamwork, friendship, and so much more while helping Batman, Robin, and Batgirl defend Gotham.</p>"
Senna,English,"('Drama', 'Sports')","<p>Based on true events, this biographical limited series recounts the trajectory of one of the most celebrated Formula 1 racers in history.</p>"
Safe House,English,"('Drama', 'Crime', 'Thriller')","<p>Safe House is a character-driven psychological thriller with a strong investigative narrative, inspired by true events. Each season sees a new cast and a new case, all centering on a police safe house coming under threat.</p>"
Anne with an E,English,"('Drama', 'Family', 'History')","<p><b>Anne with an E</b> is a coming-of-age story about an outsider who, against all odds and numerous challenges, fights for love and acceptance and for her place in the world. The series centers on a young orphaned girl in the late 1890's, who, after an abusive childhood spent in orphanages and the homes of strangers, is mistakenly sent to live with an elderly spinster and her aging brother. Over time, 13-year-old Anne will transform their lives and eventually the small town in which they live with her unique spirit, fierce intellect and brilliant imagination.</p>"
Full Swing,English,"('Sports',)","<p>Pull back the curtain and witness what it takes to be a champion in professional golf, where a single shot can make a week, a season — or even a career.</p>"
Avatar: Seven Havens,English,(),"<p>In a world shattered by a devastating cataclysm, a young Earthbender discovers she's the new Avatar after Korra. But in this dangerous era, that title marks her as humanity's destroyer, not its savior. Hunted by both human and spirit enemies, she and her long-lost twin must uncover their mysterious origins and save the Seven Havens before civilization's last strongholds collapse.</p>"
The Last Kingdom,English,"('Drama', 'Action', 'History')","<p><b>The Last Kingdom</b> is a show of heroic deeds and epic battles but with a thematic depth that embraces politics, religion, warfare, courage, love, loyalty and our universal search for identity. Combining real historical figures and events with fictional characters, it is the story of how a people combined their strength under one of the most iconic kings of history in order to reclaim their land for themselves and build a place they call home.</p>"
Geek Girl,English,"('Drama', 'Comedy', 'Romance')","<p>Harriet Manners' life is turned upside down when she's thrust into the world of fashion. Tightly wound agents, off-beat designers, impossibly high heels, a cute supermodel with a great smile, Harriet has no idea what she's in for.</p>"
Snakes and Ladders,English,"('Comedy', 'Science-Fiction')","In 1999 Britain has a north/south divide, with the South being idyllic, the North impoverished with food rationing. A computer error leads to Scotsman Gavin Sinclair accidentally changing places with Giles, one of the wealthiest men in the country."
The Real Mill with Tony Robinson,English,(),"<p>In this series Tony Robinson explores the true story of the factory workers whose blood, sweat and toil forged the Industrial Revolution. He finds out how they rose up to launch a wave of social change that laid the foundation for the country we know today. His investigation focuses on Quarry Bank Mill in Cheshire – the inspiration for Channel 4s drama series The Mill. Quarry Banks buildings and machinery are remarkably well preserved and its original records from the 19th century are almost entirely intact. Together, these unique resources reveal the stories of the men, women and children who toiled in the mill.</p><p> </p>"
The Loud House,English,"('Comedy', 'Children', 'Family')","<p>Welcome to the Loud House, where life can get pretty crazy. One boy, TEN girls?! Lincoln Loud wouldn't change it for the world!</p>"
Yellowjackets,English,"('Drama', 'Horror', 'Supernatural')","<p><b>Yellowjackets</b> follows a girls' high school soccer team. In 1975, the Dearborn High Yellowjackets became the first team in state history to qualify for the Girls' U.S. Soccer Championship Series in Manchester, NH. They never got the chance to compete. Equal parts survival epic, horror story and pitch black coming of age, <i>Yellowjackets</i> tells the story of the (un)lucky survivors of a plane crash deep in the Ontario wilderness, chronicling their descent from a friendly, cooperative team to warring, cannibalistic clans. At the same time, it follows the lives they've attempted to piece back together nearly twenty-five years later, proving that the past is never really past and what began out in the wilderness is far from over.</p>"
Sex and the City,English,"('Drama', 'Comedy', 'Romance')","<p>A candid, comic view of sex and relationships, <b>Sex and the City</b> stars Sarah Jessica Parker as Carrie Bradshaw, a New York-based writer who explores and experiences the unique world of Manhattan's dating scene, chronicling the mating habits of single New Yorkers. Executive produced by Michael Patrick King, the series also stars cast regulars Kim Cattrall as PR executive Samantha Jones, who's seen -- and done -- it all; Kristin Davis as Charlotte York, still trying to hold on to the idea of happily ever after; and Cynthia Nixon as corporate lawyer and mother Miranda Hobbes, a pragmatist trying to balance the idea of love with the realities of life. </p>"
Franklin,English,"('Drama', 'History')","<p>On a secret mission to France, Benjamin Franklin plays a sophisticated game of intrigue and seduction—with the fate of American independence hanging in the balance.</p>"
My Family,English,"('Comedy', 'Family')","<p>Meet the Harpers – your ordinary, crazy family. How can Ben and Susan cope when their kids are growing up – and growing wild? </p>"
My Little Pony Tales,English,"('Adventure', 'Children', 'Fantasy')","<p>The series follows the lives of seven young female ponies: Starlight, Sweetheart, Melody, Bright Eyes, Patch, Clover and Bon Bon. Unlike the first series, My Little Pony, the girls live like human beings and mostly walk on their hind legs. They attend school, eat at an ice cream shop, go on dates, enter contests and even roller-skate. Love interests were provided in the male ponies Teddy, Ace and Lancer. At least one song is performed by the ponies in every episode. The series takes place in Coltonville, a town in Ponyland which is inhabited solely by earth ponies. Characters like Megan and Spike do not appear in the series. The theme song itself is completely different. No dolls based on the characters were made.</p>"
The Smurfs,English,"('Children', 'Fantasy')","<p><b>The Smurfs</b> is a comic and television franchise centered on a group of small blue fictional creatures called Smurfs, created and first introduced as a series of comic strips by the Belgian cartoonist Peyo (pen name of Pierre Culliford) on October 23, 1958. The original term and the accompanying language came during a meal Peyo was having with his colleague and friend André Franquin at the Belgian Coast. Having momentarily forgotten the word ""salt"", Peyo asked him (in French) to pass the schtroumpf. Franquin jokingly replied: ""Here's the Schtroumpf — when you are done schtroumpfing, schtroumpf it back..."" and the two spent the rest of that weekend speaking in ""schtroumpf language"". The name was later translated into Dutch as Smurf, which was adopted in English.</p>"
The Stranger,English,"('Thriller',)","<p>An unassuming young rideshare driver is thrown into her worst nightmare when a mysterious Hollywood Hills passenger enters her car. Her terrifying, heart-stopping ride with the stranger unfolds over 12 hours as she navigates the seedy underbelly of Los Angeles in a chilling game of cat and mouse.</p>"
The Good Place,English,"('Comedy', 'Fantasy', 'Supernatural')","<p><b>The Good Place</b> is a smart, unique comedy about what makes a good person. The show follows Eleanor Shellstrop, an ordinary woman who enters the afterlife and, thanks to some kind of error, is sent to the Good Place instead of the Bad Place, which is definitely where she belongs. While hiding in plain sight from Michael, the wise architect of the Good Place (who doesn't know he's made a mistake), she's determined to shed her old way of living and discover the awesome (or, at least, the pretty good) person within.</p>"
This is the Zodiac Speaking,English,"('Crime',)","<p>In this true-crime docuseries, a family searching for answers shares clues and eye-opening testimonies about the prime suspect in the Zodiac murders.</p>"
Ozark,English,"('Drama', 'Crime', 'Thriller')","<p>In this dark, dangerous series, a family struggles after moving to an Ozarks resort community when they're thrust into a world of dirty money.</p>"
Seinfeld,English,"('Comedy',)","<p><b>Seinfeld</b> is the story of a fictionalized version of stand-up comedian Jerry Seinfeld, his life in New York City and his quirky group of friends who join him in wrestling with life's most perplexing, yet often trivial questions. Often described as ""a show about nothing,"" Seinfeld mines the humor in life's mundane situations like waiting in line, searching for a lost item, or the trials and tribulations of dating.</p>"
The Chosen,English,"('Drama', 'History')","<p><b>The Chosen</b> is the first-ever-multi-season TV show about the life of Jesus. Created outside of the Hollywood system, The Chosen allows us to see Him through the eyes of those who knew him. No matter where you are at in your journey with Jesus Christ, this TV show is for you.</p>"
You Bet Your Life,English,(),"<p>Hosted by Jay Leno, this new incarnation of the legendary game show ""You Bet Your Life,"" will preserve the show's trademark humorous interviews and unpredictable banter with each contestant, famously originated by Groucho Marx. For this reboot, the game will couple two strangers together for the opportunity to win prize money by correctly answering questions about pre-determined categories. Each episode will present two pairs of contestants.</p>"
Behind Her Eyes,English,"('Fantasy', 'Thriller', 'Mystery')","<p>Since her husband walked out, Louise has made her son her world, supporting them both with her part-time job in a psychiatrist's office. Her world is thrown off kilter when she begins an affair with her new boss David and matters take an even stranger turn when she's drawn into an unlikely friendship with his wife Adele. What starts as an unconventional love triangle soon becomes a dark, psychological tale of suspense and twisted revelations, as Louise finds herself caught in a dangerous web of secrets where nothing and no-one is what they seem.</p>"
The Baby-Sitters Club,English,"('Drama', 'Comedy', 'Family')","<p>Based on Ann M. Martin's best-selling book series, <b>The Baby-Sitters Club</b> follows the friendship and babysitting adventures of five best friends in Stoneybrook, Connecticut.</p>"
Henry Danger,English,"('Comedy', 'Family', 'Science-Fiction')","<p>Henry Hart's afterschool job? Kid Danger: Captain Man's superhero sidekick. Fighting crime AND finishing homework? Villains, beware!</p>"
The Big Bang Theory,English,"('Comedy',)","<p><b>The Big Bang Theory</b> is a comedy about brilliant physicists, Leonard and Sheldon, who are the kind of ""beautiful minds"" that understand how the universe works. But none of that genius helps them interact with people, especially women. All this begins to change when a free-spirited beauty named Penny moves in next door. Sheldon, Leonard's roommate, is quite content spending his nights playing Klingon Boggle with their socially dysfunctional friends, fellow Cal Tech scientists Wolowitz and Koothrappali. However, Leonard sees in Penny a whole new universe of possibilities... including love.</p>"
"Young, Famous & African",English,(),"<p>This reality series follows a group of famed, affluent young media stars in Johannesburg as they build careers, look for love and rekindle old flames.</p>"
Om Nom Stories,English,(),"<p>The adventures of Om Nom, the cute little green monster from Cut the Rope.</p>"
The Thundermans,English,"('Comedy', 'Family', 'Science-Fiction')","<p>Phoebe and Max Thunderman are 14-year-old fraternal twins turbocharged by freeze breath and the power to move objects via telekinesis. Phoebe, a good-natured sister, always tries to do the right thing, while Max, a troublemaker, dreams of one day becoming a super villain. Brother Billy moves at super speed, while younger sister Nora cuts solid objects with her laser beam eyes. Rounding out the family are parents Hank, who possesses extraordinary strength and the ability to fly, and Barb, who can generate lightning from her hands. Ultimately, the family must attempt keep their powers under wraps and lead a ""normal"" life... but can life ever be ""normal"" in a family of superheroes?</p>"
New Amsterdam,English,"('Drama', 'Medical')","<p>Inspired by Bellevue, the oldest public hospital in America, <b>New Amsterdam</b> follows the brilliant and charming Dr. Max Goodwin, the institution's newest medical director, who sets out to tear up the bureaucracy and provide exceptional care. How can he help? Well, the doctors and staff have heard this before. Not taking ""no"" for an answer, Dr. Goodwin must disrupt the status quo and prove he will stop at nothing to breathe new life into this understaffed, underfunded and underappreciated hospital - the only one in the world capable of treating Ebola patients, prisoners from Rikers and the president of the United States under one roof - and return it to the glory that put it on the map.</p>"
Cheat,English,"('Drama', 'Thriller')","<p><b>Cheat</b> is a psychological thriller about the dangerous relationship between university professor Leah, and her student Rose, when, what begins as a seemingly open and shut case of academic deception, quickly spirals out of control, ending in fatal consequences, and triggering a devastating sequence of events that threaten to engulf them both. With two fiercely intelligent minds unwilling to back down, <i>Cheat</i> will keep audiences guessing from the start, exploring just how far we're prepared to stand up for what we believe, and at what cost.</p>"
Bodyguard,English,"('Drama', 'Crime', 'Thriller')","<p>Set in and around the corridors of power, <b>Bodyguard</b> tells the fictional story of David Budd, a heroic but volatile war veteran now working as a Specialist Protection Officer for the Royalty and Specialist Protection Branch (RaSP) of London's Metropolitan Police Service.</p><p>When he is assigned to protect the ambitious and powerful Home Secretary Julia Montague, whose politics stand for everything he despises, Budd finds himself torn between his duty and his beliefs. Responsible for her safety, is he actually her biggest threat?</p>"
Family Reunion,English,"('Comedy', 'Family')","<p><b>Family Reunion</b> follows Cocoa McKellan, a free spirited mother from Seattle. When she and her former football-playing husband Moz and their four children travel from their home in the big city to the small town of Columbus, Georgia for the McKellan Family Reunion, they get to know an extended family they didn't even realize they were missing.</p>"
The Fairly OddParents,English,"('Comedy', 'Children')","<p>Timmy Turner is your average 10-year-old kid with a not-so-average secret. You see, his life used to be miserable. He couldn't catch a break - not from bullies at school, not from his insane teacher Mr. Crocker, and DEFINITELY not from Vicky, his evil babysitter. But he's got just what he needs to make it all better: Cosmo and Wanda, fairy godparents who can grant his every wish! Sure, those wishes can backfire, and turn into seemingly irreversible disasters, but that's not stopping Timmy from having amazing adventures along the way!</p>"
The Last Kids on Earth,English,"('Comedy', 'Adventure', 'Children')","<p><b>The Last Kids on Earth</b> follows a 13-year old kid named Jack Sullivan, who, along with his group of friends, battles a zombie apocalypse in-between playing video games in their decked-out tree house.</p>"
Power,English,"('Drama', 'Crime')","<p><b>Power </b>tells the story of James ""Ghost"" St. Patrick, a wealthy New York City nightclub owner who caters to the city's elite. He wants to build an empire, turn the club into a Fortune 500 business, but there's just one problem: Ghost is living a double life. When he is not in the club, he is the kingpin of the most lucrative drug network in New York for a very high-level clientele. His marriage, family and business all become unknowingly threatened as he is tempted to leave his criminal life behind and become the rags-to-riches businessman he wants to be most of all.</p>"
The Equalizer,English,"('Drama', 'Action', 'Crime')","<p>A reimagining of the classic series, <b>The Equalizer</b> centers on enigmatic woman with a mysterious background who uses her extensive skills to help those with nowhere else to turn.</p>"
Unbelievable,English,"('Drama', 'Crime', 'Thriller')","<p>The true story of Marie, a teenager who was charged with lying about having been raped, and the two female detectives who followed a twisting path to arrive at the truth.</p>"
Alexa & Katie,English,"('Drama', 'Comedy', 'Family')","<p><b>Alexa &amp; Katie</b> is about two lifelong best friends Alexa and Katie, who are eagerly anticipating the start of their freshman year of high school. The friends confront a crisis that leaves them feeling like outsiders at a time when what seems to matter most is fitting in.</p>"
Who is Erin Carter?,English,"('Drama', 'Action', 'Thriller')",<p>A British woman's tranquil life in Barcelona spirals out of control when an armed robbery at a supermarket exposes her secret... and violent past.</p>
A.P. Bio,English,"('Comedy',)","<p>When philosophy scholar Jack Griffin loses out on his dream job and goes to work as a high school Advanced Placement Biology teacher, he makes one thing very clear: he will not be teaching biology. Realizing he has a room full of honor roll students at his disposal, Jack uses his flawed logic to misdirect his principal and recruit the kids to help him mentally break his job-stealing nemesis and win back the position that's rightfully his.</p>"
The Office,English,"('Comedy',)","<p>Steve Carell stars in <b>The Office</b>, a fresh and funny mockumentary-style glimpse into the daily interactions of the eccentric workers at the Dunder Mifflin paper supply company. Based on the smash-hit British series of the same name and adapted for American Television by Greg Daniels, this fast-paced comedy parodies contemporary American water-cooler culture. Earnest but clueless regional manager Michael Scott believes himself to be an exceptional boss and mentor, but actually receives more eye-rolls than respect from his oddball staff.</p>"
Pop the Balloon LIVE,English,"('Romance',)",<p>Reality stars and everyday singles test their romantic chemistry in this live dating experiment hosted by Yvonne Orji.</p>
All American,English,"('Drama', 'Sports')","<p>When a rising high school football player from South Central L.A. is recruited to play for Beverly Hills High, the wins, losses and struggles of two families from vastly different worlds — Compton and Beverly Hills — begin to collide. Inspired by the life of pro football player Spencer Paysinger.</p>"
Teen Titans Go!,English,"('Comedy', 'Action', 'Science-Fiction')","<p><b>Teen Titans Go!</b> is a character-driven comedy series focuses on the funny that happens in between saving the world and living together as teenagers without adult supervision. The comedic mayhem of the animated series is punctuated by pranks and the occasional need to fight crime, but it will also deal with the everyday issues of adolescence. With epic staring contests to decide who does the laundry, a series of quests and battles to construct the perfect sandwich or fighting crime in Jump City, one thing is for sure, these Titans will always be ready for an adventure inside the house and out.</p>"
Good Girls,English,"('Drama', 'Comedy', 'Crime')","<p><b>Good Girls</b> follows three ""good girl"" suburban wives and mothers who suddenly find themselves in desperate circumstances and decide to stop playing it safe, and risk everything to take their power back.</p>"
World War II: Confidential,English,"('War', 'History')","<p>In <b>World War II: Confidential</b>, the backroom dealings of Winston Churchill, Franklin D. Roosevelt and Joseph Stalin during WWII are explored.</p>"
Free Rein,English,"('Drama', 'Family')","<p>From Lime Pictures comes <b>Free Rein</b> is a coming-of-age story about an American teenager, Zoe, and her summer of intrigue in the English countryside. During her stay at Bright Field Stables, 15-year-old Zoe's life changes forever when she meets the mysterious horse Raven, whose friendship gives Zoe the strength to deal with issues and explore new relationships. Faced with personal and physical challenges at every turn, Zoe's inspirational journey will show audiences that life is all about failing - and learning to pick yourself up again.</p>"
Rainbow High,English,"('Children', 'Family')","<p>Legend says at the end of the rainbow, there's a pot of gold. But the truth is, it's something even more amazing. Only a chosen few with an eye for bold fashions can follow the rainbow to Rainbow High, the colorful fashion school where everyone learns to flaunt their true color.</p><p><br /> </p>"
Orange Is the New Black,English,"('Drama', 'Comedy', 'Crime')","<p><b>Orange Is the New Black</b> is the story of Piper Chapman, a woman in her thirties who is sentenced to fifteen months in prison after being convicted of a decade-old crime of transporting money for her drug-dealing girlfriend.</p>"
Friends,English,"('Comedy', 'Romance')","<p>Six young (20-something) people from New York City (Manhattan), on their own and struggling to survive in the real world, find the companionship, comfort and support they get from each other to be the perfect antidote to the pressures of life.</p><p>This average group of buddies goes through massive mayhem, family trouble, past and future romances, fights, laughs, tears and surprises as they learn what it really means to be a friend.</p>"
Sex/Life,English,"('Drama', 'Comedy', 'Adult')","<p><b>Sex/Life</b> is the story of a love triangle between a woman, Billie Connelly, her husband, and her past which takes a deliciously steamy new look at female identity and desire.</p>"
Grey's Anatomy,English,"('Drama', 'Romance', 'Medical')","<p>The doctors of Grey Sloan Memorial Hospital deal with life-or-death consequences on a daily basis -- it's in one another that they find comfort, friendship and, at times, more than friendship. Together they're discovering that neither medicine nor relationships can be defined in black and white. Real life only comes in shades of grey.</p>"
Pup Academy,English,"('Adventure', 'Children')",<p>Dogs from all over the globe travel through magical portals disguised as fire hydrants to a secret place where they are trained by an esteemed canine faculty to become man's best friend.</p>
The Crown,English,"('Drama', 'History')","<p><b>The Crown</b> tells the inside story of two of the most famous addresses in the world -- Buckingham Palace and 10 Downing Street - and the intrigues, love lives and machinations behind the great events that shaped the second half of the 20th century. Two houses, two courts, one Crown.</p>"
Sneaky Links: Dating After Dark,English,"('Romance',)","<p>Six sexy singles check into a motel in pursuit of true love, only to discover their longtime booty calls, or ""sneaky links,"" are there as well. Facing desires old and new, and many hard truths, guests must decide whether to strengthen their sneaky link or explore new connections. Will they stay sneaky, or is love worth ""checking out""?</p>"
DAHMER - Monster: The Jeffrey Dahmer Story,English,"('Drama', 'Crime', 'History')","<p>Between 1978 and 1991, Jeffrey Dahmer gruesomely took the lives of seventeen innocent victims. <b>DAHMER - Monster: The Jeffrey Dahmer Story</b> is a series that exposes these unconscionable crimes, centered around the underserved victims and their communities impacted by the systemic racism and institutional failures of the police that allowed one of America's most notorious serial killers to continue his murderous spree in plain sight for over a decade.</p>"
MINDHUNTER,English,"('Drama', 'Crime', 'Thriller')","<p><b>MINDHUNTER</b> is based on the 1996 book<i> Mind Hunter: Inside the FBI's Elite Serial Crime Unit</i>, by former special agent John Douglas and Mark Olshaker. For years, Douglas pursued some of the most notorious serial killers and rapists, developing profiling techniques to catch them. The book goes behind the scenes of some of his highest-profile cases, including the man who hunted prostitutes in Alaska, the Atlanta child murderer, and Seattle's Green River killer. To hone in his profiling methods Douglas interviewed and studied a skew of serial killers. Several book and TV characters have been based in part on him, including Jack Crawford in Thomas Harris' <i>The Silence of the Lambs</i>, Will Graham on <i>Hannibal</i> and Jason Gideon on <i>Criminal Minds</i>.</p>"
One Day,English,"('Drama', 'Romance')","<p><b>One Day</b> tells the story of Emma Morley and Dexter Mayhew who, on 15th July 1988, the night of their graduation, speak for the very first time. The next morning, they go their separate ways but where will they be on this one ordinary day the next year, and the year after that, and every year that follows? Each episode finds Dex and Em, one year older, on this one particular date, as they grow and change, move together and apart, experience joy and heartbreak. <i>One Day</i> is a decades-spanning love story, based on the worldwide bestseller by David Nicholls. </p>"
Harlan Coben's Stay Close,English,"('Drama', 'Thriller', 'Mystery')","<p><b>Stay Close</b> tells the story of three people hiding dark secrets and living lives they never wanted. Megan is a soccer mum with a wild past and growing sense of dissatisfaction; Ray's talents as a documentary photographer are being wasted in a dead-end paparazzi job; while Broome is a detective struggling to let go of a cold case. Eventually, the consequences of their past actions crash together in the present day.</p>"
Too Hot to Handle,English,"('Romance',)","<p>On the shores of paradise, sexy singles meet, mingle ... and face a $100,000 celibacy challenge. Can they keep it clean — or will temptation win?</p>"
Eric,English,"('Drama', 'Crime', 'Thriller')","<p>Set in 1980s New York, <b>Eric</b> is an emotional thriller following the desperate search of a father when his nine-year-old son disappears one morning on the way to school. Vincent, one of New York's leading puppeteers and creator of the hugely popular children's television show, ""Good Day Sunshine"", struggles to cope with the loss of his son, Edgar, becoming increasingly distressed and volatile. Full of self-loathing and guilt around Edgar's disappearance, he clings to his son's drawings of a blue monster puppet, Eric, convinced that if he can get Eric on TV then Edgar will come home. As Vincent's progressively destructive behavior alienates his family, his work colleagues, and the detectives trying to help him, it's Eric, a delusion of necessity, who becomes his only ally in the pursuit to bring his son home.</p>"
Ancient Apocalypse,English,"('History',)",<p>What if everything we know about prehistoric humans is wrong? Journalist Graham Hancock visits archaeological sites around the world to uncover whether a civilization far more advanced than we ever believed possible existed thousands of years ago.</p>
Baby Farm,English,"('Drama',)",<p>A young pregnant woman accepts help from a high-profile organization offering support — and becomes a prisoner in their sinister plot.</p>
Trainwreck,English,(),"<p>8-part documentary anthology that focuses on some of the wildest and most bizarre events ever to blow up in mainstream media. Each week, tune in to a new story told from the perspective of those at the heartbeat of the chaos. Opening with the tragedy of the 2021 Astroworld Festival, the series then ranges from political scandals and media hoaxes to cult-like corporations and reality TV disasters. Trainwreck delves into the stories the world could not look away from.</p>"
True and the Rainbow Kingdom,English,"('Adventure', 'Children', 'Fantasy')","<p>On <b>True and the Rainbow Kingdom</b>, when something's wrong in the Rainbow Kingdom, bighearted guardian True and her best friend, Bartleby, are there to grant wishes and save the day.</p>"
Kaos,English,"('Drama', 'Comedy', 'Fantasy')","<p>Zeus: King of the gods, ruler of the world. He's cruel, stylish and all-powerful. That is, until he's not.</p><p>Having long enjoyed his status as king of the gods, Zeus's reign has never been truly threatened. That is until he wakes up one morning and discovers a wrinkle on his forehead. Believing it to be the harbinger of an ancient prophecy which foretells his destruction, neurosis sets in: Zeus becomes convinced his fall is coming. As his paranoia takes hold, the god of gods - seeing signs everywhere - starts to dangerously self-destruct.</p><p>And he's right to be worried. Zeus's one time friend and now prisoner, Prometheus, is orchestrating a plan to bring him down. The plan involves three disparate humans, all of whom are totally unaware of their cosmic significance or the part they must play in saving the world. No pressure. (Some pressure.)</p>"
"Go, Dog. Go!",English,"('Adventure', 'Children')","<p>Handy and inventive pup Tag chases adventure with her best pal, Scooch, solving problems and helping the citizens of Pawston along the way.</p>"
Tom and Jerry Tales,English,"('Comedy', 'Children')","<p>Everyone's favorite slapstick superstars are back! Tom and Jerry star in their first US television series in more than 13 years. Look for the endless rivalry and over the top mayhem that have made Tom and Jerry perennial cartoon favorites. Scheduled to air on The CW Kids (which will be replacing Kids WB when the UPN and WB merge into one network) during a new morning block entitled, ""Too Big For Your TV"" on Saturday mornings later this fall. (2006)</p>"
iCarly,English,"('Comedy', 'Children', 'Family')","<p>Carly Shay led a pretty normal life... until she and her friends started their own web show. When <b>iCarly</b> becomes an instant hit, Carly and her pals have to balance their newfound success with the problems of everyday life. With her parents overseas, Carly relies on the help of her best friend/co-star, Sam, her longtime pal/technical producer, Freddie, and her eccentric older brother/guardian, Spencer, to keep it all together. Sam and Freddie's constant bickering and Spencer's odd habits make for a lot of good material...but is it enough to fill a new show every week?</p>"
Barbie: Dreamhouse Adventures,English,"('Children',)",<p>Get to know Barbie and her BFFs--including next-door neighbor Ken--in this animated vlog of adventures filmed inside her family's new dreamhouse.</p>
Law & Order,English,"('Drama', 'Crime', 'Legal')","<p>In the criminal justice system, the people are represented by two separate, yet equally important, groups: the police, who investigate crime; and the district attorneys, who prosecute the offenders. These are their stories.</p>"
The Looney Tunes Show,English,"('Comedy', 'Adventure')",<p>An updated iteration of the Looney Tunes characters focusing on their satirical misadventures living in suburbia.</p>
Erin & Aaron,English,"('Comedy', 'Family', 'Music')","<p>The lives of two teenagers, with similar-sounding names, are turned upside down when their parents marry. But as these stepsiblings face challenges in their new blended family, they learn to rely on something else they have in common … music.</p>"
Homicide,English,"('Crime',)","<p>Detectives and prosecutors revisit their most challenging homicide cases in this chilling true-crime docuseries from the creator of ""Law &amp; Order.""</p>"
Power Moves with Shaquille O'Neal,English,"('Sports',)","<p>In this candid documentary series, NBA legends Shaquille O'Neal and Allen Iverson work to revive Reebok's legacy and find a rising star to rep the brand.</p>"
The Cuphead Show!,English,"('Comedy', 'Children')","<p><b>The Cuphead Show!</b> follows the unique misadventures of the impulsive Cuphead and his cautious but easily swayed brother Mugman. Through their many misadventures across their surreal home of the Inkwell Isles, they've always got one another's backs.</p>"
13 Reasons Why,English,"('Drama', 'Thriller', 'Mystery')","<p><b>13 Reasons Why </b>is based on the New York Times bestselling YA book by Jay Asher, was created by Pulitzer Prize and Tony Award winner Brian Yorkey, who also wrote the pilot. 13 Reasons Why is the story of Hannah Baker, a high schooler who commits suicide. Clay receives a box of tapes from Hannah, his late classmate and crush after she kills herself. On the tapes, which get passed along to other students based on Hannah's instructions, Hannah reveals the 13 reasons why she took her own life.</p>"
Outlander,English,"('Adventure', 'Romance', 'Science-Fiction')","<p><b>Outlander </b>follows the story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is threatened. When she is forced to marry Jamie, a chivalrous and romantic young Scottish warrior, a passionate affair is ignited that tears Claire's heart between two vastly different men in two irreconcilable lives.</p><p>The <i>Outlander</i> series, adapted from Diana Gabaldon's international best-selling books, spans the genres of romance, science fiction, history and adventure into one epic tale.</p>"
Be Cool Scooby-Doo!,English,"('Adventure', 'Children', 'Family')","<p><b>Be Cool Scooby-Doo!</b> is an animated television series from Warner Bros. Animation, the twelfth incarnation of Hanna-Barbera's Scooby-Doo animated series. After finishing up their senior year of high school, the Scooby-Doo-gang decide to travel in the Mystery Machine, seeking fun and adventure during what could possibly be their last summer break together. However, havoc-wreaking monsters prevent them from completing their journey.</p>"
Breathless,English,"('Drama', 'Romance')","<p>Secrets, lies and passion smoulder beneath the glamorous and stylish world of the early 1960s, in the brand new drama <b>Breathless</b>.</p>"
Little Lunch,English,"('Comedy', 'Children')","<p>A mockumentary children's comedy series about what happens in the primary school playground at snack time, told through the eyes of six children. Based on the books written by Danny Katz and illustrated by Mitch Vane. Adapted for television by Robyn Butler and Wayne Hope.</p>"
The Epic Tales of Captain Underpants,English,"('Action', 'Children', 'Science-Fiction')",<p>Fourth-grade friends George and Harold have a shared love of pranks and comic books -- and turning their principal into an undies-wearing superhero.</p>
Surviving Summer,English,"('Drama',)","<p>Expelled from school and exiled to Australia, a rebel New York teen makes waves among a young surfer's inner circle — and leaves a mess in her wake.</p>"
On My Block,English,"('Drama', 'Comedy', 'Crime')","<p>In a rough inner-city Los Angeles neighborhood, four smart, funny and streetwise teens find their lifelong friendship tested as they begin high school.</p>"
Dark Winds,English,"('Crime', 'Thriller', 'Mystery')","<p>Based on the iconic <i>Leaphorn &amp; Chee</i> book series by Tony Hillerman, <b>Dark Winds</b> is a psychological thriller that follows two Navajo police officers in the 1970s Southwest, as their search for clues in a grisly double murder case forces them to challenge their own spiritual beliefs and come to terms with the trauma of their pasts.</p>"
Oddballs,English,"('Comedy', 'Children')","<p>Follow James, a bubble-shaped boy, whose observations on life fuel his comedic rants at everyday annoyances and elevates them to laughably absurd heights. Along with his best friends Max (a talking crocodile) and Echo (a girl who claims to be from the future), James' ridiculous schemes to question norms often result in disaster.</p>"
Worst Roommate Ever,English,"('Drama', 'Crime')",<p><b>Worst Roommate Ever </b>highlights four harrowing tales of seemingly harmless roommates turning into real-life nightmares for their unsuspecting victims when their malevolent and sometimes violent intentions are revealed. These unsettling true stories chronicle the masked menace that can be lurking right down the hall.</p>
Floor Is Lava,English,"('Family',)","<p>Teams compete to navigate rooms flooded with lava by leaping from chairs, hanging from curtains and swinging from chandeliers. Yes, really.</p>"
